gem	sole_impact	reach_impact	transit_loadbearing	downloads	verdict	failure_type	achievability	lib_files	lib_loc
seam	1	1	0	140009	rejected	analyze-failed	compiler	2	52
exiv2	1	1	0	73614	rejected	c-extension	native	6	60
pact-support	1	1	0	36181512	rejected	no-entrypoint	compiler	81	3391
elif	1	1	0	1653354	rejected	analyze-failed	compiler	1	64
scoped-search	1	1	0	33735	rejected	analyze-failed	compiler	1	90
oyster	1	3	0	90186	rejected	analyze-failed	compiler	12	348
bzip2-ruby	1	1	0	95835	rejected	c-extension	native	5	38
obo	1	1	0	21606	rejected	analyze-failed	compiler	5	98
system-getifaddrs	1	2	0	138348	rejected	no-entrypoint	compiler	2	16
unicode-eaw	1	1	0	35944	rejected	no-entrypoint	compiler	3	48
easier-instance-variable-access	1	1	0	9623	rejected	analyze-failed	compiler	2	17
pbkdf2	1	2	0	282110	rejected	analyze-failed	compiler	1	122
Platform	1	1	0	8651489	rejected	analyze-failed	compiler	1	50
rest-open-uri	1	1	0	82057	rejected	analyze-failed	compiler	1	449
concurrent_executor	1	1	0	8611	rejected	analyze-failed	compiler	2	76
mini_mime	1	1	0	828244703	rejected	analyze-failed	compiler	2	151
rtaglib	1	1	0	33754	rejected	c-extension	native	4	1377
filewatcher	1	8	0	2223069	rejected	analyze-failed	compiler	2	55
net-empty_port	1	1	0	33677	rejected	no-entrypoint	compiler	2	77
rmmseg-cpp-new	1	1	0	208554	rejected	c-extension	native	3	71
ParseTree	1	7	0	539116	rejected	analyze-failed	compiler	4	1383
terraform-synthesizer	1	1	0	12575	rejected	analyze-failed	compiler	2	22
rack-mount	1	1	0	16878457	rejected	no-entrypoint	compiler	28	2498
ruby-dtrace	1	1	0	30784	rejected	c-extension	native	14	281
rubysl	1	1	0	347880	rejected	no-entrypoint	compiler	3	8
rack-accept	1	4	0	81767480	rejected	no-entrypoint	compiler	1	43
ipaddr_list	1	1	0	58250	rejected	analyze-failed	compiler	1	138
apache_log-parser	1	1	0	31053	rejected	no-entrypoint	compiler	2	56
http2	1	4	0	263933	rejected	analyze-failed	compiler	13	996
iodine	1	1	0	513626	rejected	c-extension	native	9	204
totem	1	1	0	20117	rejected	analyze-failed	compiler	6	217
mojo_magick	1	1	0	872866	rejected	analyze-failed	compiler	10	314
qpid_messaging	1	1	0	153238	rejected	c-extension	native	9	370
delayer	1	1	0	58690	rejected	analyze-failed	compiler	24	867
gon	1	1	0	63468937	rejected	analyze-failed	compiler	5	127
threaded_in_memory_queue	1	1	0	32046	rejected	analyze-failed	compiler	6	170
contracts-noop	1	1	0	32595	rejected	no-entrypoint	compiler	4	93
cmdparse	1	2	0	13465588	rejected	analyze-failed	compiler	1	427
fast-polylines	1	1	0	1917256	rejected	c-extension	native	3	19
media-path	1	1	0	29101	rejected	analyze-failed	compiler	1	170
ruby-uuid	1	1	0	157325	rejected	analyze-failed	compiler	1	208
jbundler	1	3	0	431719	rejected	analyze-failed	compiler	19	1119
typespec	1	2	0	28857	rejected	analyze-failed	compiler	2	160
processingjs-source	1	1	0	11042	rejected	no-entrypoint	compiler	2	17
ruby-ldapserver	1	1	0	281530	rejected	no-entrypoint	compiler	17	2287
gsl	1	4	0	618771	rejected	c-extension	native	4	150
equire	1	1	0	7162	rejected	analyze-failed	compiler	2	213
async-dns	1	3	0	3134275	rejected	no-entrypoint	compiler	13	729
glosbe	1	1	0	29070	rejected	analyze-failed	compiler	10	401
pasteboard	1	1	0	6710	rejected	c-extension	native	2	281
pebbles-uid	1	1	0	63988	rejected	analyze-failed	compiler	10	494
tmp-repo	1	1	0	9529	rejected	analyze-failed	compiler	2	102
inplace	1	1	0	8790	rejected	analyze-failed	compiler	2	428
rstructural	1	1	0	15448	rejected	analyze-failed	compiler	6	285
atoulme-Antwrap	1	1	0	1232213	rejected	analyze-failed	compiler	6	224
meme_generator	1	2	0	52443	rejected	analyze-failed	compiler	1	146
rbimg	1	1	0	6850	rejected	analyze-failed	compiler	7	491
isbnranges	1	1	0	11165	rejected	analyze-failed	compiler	3	35
qml	1	1	0	29742	rejected	c-extension	native	28	783
mini_exiftool	1	4	0	5483204	rejected	analyze-failed	compiler	1	430
varint	1	1	0	358240	rejected	no-entrypoint	compiler	1	3
rbtree	1	8	0	65863739	rejected	no-entrypoint	compiler	2	989
php_embed	1	1	0	24578	rejected	c-extension	native	2	10
google-appengine	1	1	0	107978	rejected	no-entrypoint	compiler	0	0
phraseapp-ruby	1	1	0	1905077	rejected	analyze-failed	compiler	4	5022
rack-tracer	1	1	0	1647638	rejected	no-entrypoint	compiler	1	66
apostle	1	1	0	65005	rejected	analyze-failed	compiler	4	56
memcached-northscale	1	1	0	55636	rejected	c-extension	native	7	566
picky	1	2	0	913297	rejected	c-extension	native	2	37
ractor-tvar	1	1	0	8273	rejected	no-entrypoint	compiler	2	16
dmarkow-raspell	1	1	0	27480	rejected	c-extension	native	1	41
rack-ssl	1	2	0	39085720	rejected	no-entrypoint	compiler	3	10
stash	1	1	0	16708	rejected	c-extension	native	15	369
skylight	1	1	0	12603687	rejected	c-extension	native	0	0
async-webdriver	1	1	0	15091	rejected	no-entrypoint	compiler	34	1583
chapter	1	1	0	8990	rejected	c-extension	native	1	1
ffi-yajl	1	2	0	55217575	rejected	c-extension	native	22	1102
clean-bitmask-attribute	1	1	0	17039	rejected	analyze-failed	compiler	6	357
thread-local	1	1	0	2306628	rejected	no-entrypoint	compiler	2	27
data-validator	1	1	0	58306	rejected	analyze-failed	compiler	5	182
zfs	1	1	0	37745	rejected	analyze-failed	compiler	4	124
darkfish-rdoc	1	1	0	29321	rejected	analyze-failed	compiler	2	289
nifty-cloud-sdk	1	1	0	27526	rejected	other	compiler	14	1128
fog-kubevirt	1	1	0	250642	rejected	no-entrypoint	compiler	77	3523
mixlib-config	1	5	0	69526969	rejected	no-entrypoint	compiler	6	451
vagrant-berkshelf	1	1	0	456318	rejected	analyze-failed	compiler	15	523
blake2b	1	3	0	63615	rejected	c-extension	native	2	56
oauth-cli-twitter	1	1	0	9324	rejected	no-entrypoint	compiler	1	110
nifty-generators	1	1	0	1505836	rejected	no-entrypoint	compiler	63	1329
aggregate	1	1	0	6738067	rejected	analyze-failed	compiler	2	170
gem_pre_unversioned_install	1	1	0	96062	rejected	analyze-failed	compiler	1	42
module_ext	1	1	0	9489	rejected	analyze-failed	compiler	3	49
bitset	1	3	0	92088	rejected	c-extension	native	1	16
zip-container	1	1	0	60738	rejected	analyze-failed	compiler	12	519
ruby-fsevent	1	1	0	20033	rejected	no-entrypoint	compiler	1	40
charlock_holmes_bundle_icu	1	5	0	39678	rejected	c-extension	native	4	36
twiliolib	1	1	0	677461	rejected	analyze-failed	compiler	1	277
ribbon	1	2	0	81991	rejected	analyze-failed	compiler	7	270
ruby_event_store	1	1	0	8935886	rejected	analyze-failed	compiler	4	67
sortable-rails	1	1	0	173697	rejected	no-entrypoint	compiler	2	12
slow-actions	1	1	0	8834	rejected	analyze-failed	compiler	7	366
market_beat	1	1	0	14625	rejected	analyze-failed	compiler	5	143
toy-executable-hooks	1	1	0	2103	rejected	analyze-failed	compiler	9	372
acts_as_taggable_on_steroids	1	1	0	27593	rejected	analyze-failed	compiler	6	294
tk-doubleslider	1	1	0	4369	rejected	no-entrypoint	compiler	2	155
narray-bigmem	1	1	0	3938	rejected	c-extension	native	3	530
linecache	1	4	0	3160118	rejected	c-extension	native	2	414
mhennemeyer-rwriteboard	1	1	0	13834	rejected	analyze-failed	compiler	2	108
test-spec	1	2	0	681729	rejected	no-entrypoint	compiler	5	688
hoe	1	3	0	9301081	rejected	analyze-failed	compiler	1	103
brianmario-yajl-ruby	1	1	0	105755	rejected	c-extension	native	14	319
mojodna-fireeagle	1	1	0	20370	rejected	analyze-failed	compiler	9	292
pauldix-feedzirra	1	1	0	41597	rejected	analyze-failed	compiler	15	489
actsasflinn-ruby-tokyotyrant	1	1	0	42035	rejected	no-entrypoint	compiler	0	0
mattetti-couchrest	1	1	0	85693	rejected	analyze-failed	compiler	48	3038
refine	1	1	0	8315	rejected	analyze-failed	compiler	2	200
similar_text	1	1	0	3458902	rejected	c-extension	native	2	6
tailwind_merge	1	2	0	1371906	rejected	analyze-failed	compiler	7	1442
resolv	1	3	0	9731205	rejected	c-extension	native	1	27
yoshinon	1	1	0	1428	rejected	analyze-failed	compiler	5	63
hexdump	1	3	0	265675	rejected	analyze-failed	compiler	26	1064
net-github-upload	1	1	0	40235	rejected	no-entrypoint	compiler	1	139
type_wrapper	1	1	0	8778	rejected	analyze-failed	compiler	4	78
ffi-aspell	1	3	0	578439	rejected	no-entrypoint	compiler	5	259
workarea	1	1	0	191401	rejected	no-entrypoint	compiler	6	318
brotli	1	1	0	4666462	rejected	c-extension	native	4	193
win32ole	1	1	0	2669440	rejected	c-extension	native	13	321
splunk-sdk-ruby	1	1	0	655679	rejected	analyze-failed	compiler	28	1873
ssdp	1	2	0	20785	rejected	analyze-failed	compiler	3	323
week	1	1	0	11475	rejected	analyze-failed	compiler	1	49
filter_io	1	1	0	202578	rejected	analyze-failed	compiler	2	317
delegate	1	1	0	1102711	rejected	analyze-failed	compiler	2	27
logstasher	1	1	0	6999693	rejected	analyze-failed	compiler	3	41
fast_haversine	1	1	0	1093064	rejected	c-extension	native	2	15
niceql	1	1	0	1942347	rejected	analyze-failed	compiler	4	306
optparse_plus	1	1	0	7179	rejected	analyze-failed	compiler	2	144
cielo	1	1	0	27846	rejected	no-entrypoint	compiler	17	524
spork-testunit	1	1	0	223292	rejected	no-entrypoint	compiler	1	84
sem_ver	1	1	0	112767	rejected	analyze-failed	compiler	1	52
megalopolis	1	1	0	18737	rejected	analyze-failed	compiler	4	157
searchkick	1	2	0	25945706	rejected	analyze-failed	compiler	10	1362
datashift	1	1	0	113983	rejected	analyze-failed	compiler	71	3783
ezmq	1	1	0	51647	rejected	analyze-failed	compiler	10	168
soar_lexicon	1	1	0	49972	rejected	analyze-failed	compiler	2	37
configger_service	1	1	0	60330	rejected	analyze-failed	compiler	3	59
soar_flow	1	1	0	67274	rejected	analyze-failed	compiler	2	30
settingslogic	1	7	0	36659931	rejected	analyze-failed	compiler	1	133
gsm_encoder	1	1	0	1166142	rejected	analyze-failed	compiler	1	98
rspec-instafail	1	1	0	26969481	rejected	no-entrypoint	compiler	5	66
Text	1	1	0	471485	rejected	no-entrypoint	compiler	0	0
ackintosh-net-empty_port	1	1	0	5993	rejected	no-entrypoint	compiler	2	33
sysrandom	1	2	0	36717420	rejected	c-extension	native	3	57
ahoy_matey	1	1	0	12265887	rejected	analyze-failed	compiler	19	976
hashstruct	1	3	0	17607	rejected	analyze-failed	compiler	1	78
google-cloud-bigtable	1	1	0	2005263	rejected	analyze-failed	compiler	17	1112
shared-mime-info	1	1	0	3445744	rejected	analyze-failed	compiler	5	508
bbs_2ch_url_validator	1	1	0	18401	rejected	analyze-failed	compiler	2	109
priority_queue_cxx	1	2	0	882320	rejected	c-extension	native	1	9
configstruct	1	1	0	18618	rejected	analyze-failed	compiler	1	52
rusty_engine_ffi	1	1	0	8862	rejected	analyze-failed	compiler	1	12
alchemy_cms	1	1	0	1050518	rejected	analyze-failed	compiler	104	4258
tomdz-soap4r	1	1	0	8968	rejected	no-entrypoint	compiler	159	17750
tldv-data	1	1	0	72386	rejected	no-entrypoint	compiler	1	1455
activesupport-inflector	1	2	0	324000	rejected	no-entrypoint	compiler	18	1130
raspell	1	3	0	219998	rejected	c-extension	native	1	41
ffi-libc	1	1	0	1967177	rejected	no-entrypoint	compiler	16	348
rabbitmq_http_api_client	1	1	0	830937	rejected	no-entrypoint	compiler	5	473
i3-ipc	1	1	0	30472	rejected	analyze-failed	compiler	6	312
ejt_command_line	1	1	0	32141	rejected	analyze-failed	compiler	2	224
rb-scpt	1	1	0	42629	rejected	c-extension	native	18	5535
phonelib	1	1	0	73017153	rejected	analyze-failed	compiler	11	1261
keyboard_map	1	1	0	7716	rejected	analyze-failed	compiler	2	226
rbtagger	1	1	0	104821	rejected	c-extension	native	5	93960
time_span	1	1	0	39846	rejected	analyze-failed	compiler	2	207
holiday_japan	1	2	0	3813289	rejected	analyze-failed	compiler	1	202
jdbc-nuodb	1	1	0	16943	rejected	no-entrypoint	compiler	1	22
rbtree3	1	1	0	21818140	rejected	no-entrypoint	compiler	0	0
tdiary	1	1	0	149285	rejected	analyze-failed	compiler	3	299
tapioca	1	1	0	29683320	rejected	hard-feature	metaprog	2	26
ruby-serialport	1	1	0	23466	rejected	c-extension	native	1	29
ri_cal	1	1	0	2418206	rejected	analyze-failed	compiler	96	7702
ivo	1	2	0	77902	rejected	analyze-failed	compiler	3	115
cinch-wit	1	1	0	11445	rejected	no-entrypoint	compiler	2	25
rack-cors	1	2	0	258756639	rejected	no-entrypoint	compiler	2	33
patience_diff	1	1	0	12956487	rejected	analyze-failed	compiler	10	466
StreetAddress	1	1	0	4872859	rejected	analyze-failed	compiler	1	839
tcp_timeout	1	1	0	228810	rejected	analyze-failed	compiler	1	129
steering-source	1	1	0	98979	rejected	no-entrypoint	compiler	2	30
speedytime	1	1	0	72097	rejected	no-entrypoint	compiler	1	3
confoog	1	1	0	38307	rejected	analyze-failed	compiler	3	151
resolve-hostname	1	1	0	4383202	rejected	no-entrypoint	compiler	2	155
griddle	1	1	0	14017	rejected	analyze-failed	compiler	7	418
phashion	1	3	0	3234474	rejected	c-extension	native	2	39
graphql_playground-rails	1	1	0	1766787	rejected	no-entrypoint	compiler	4	65
gash	1	1	0	40209	rejected	analyze-failed	compiler	1	295
hana	1	6	0	71710495	rejected	analyze-failed	compiler	1	196
bitswitch	1	2	0	54506	rejected	analyze-failed	compiler	2	230
yt-support	1	1	0	458184	rejected	no-entrypoint	compiler	7	168
ruby-opengl	1	2	0	85841	rejected	no-entrypoint	compiler	0	0
shell-base	1	1	0	16875	rejected	analyze-failed	compiler	2	32
url	1	1	0	15206542	rejected	analyze-failed	compiler	2	118
nrser	1	2	0	110305	rejected	analyze-failed	compiler	2	19
gherkin3	1	1	0	1255645	rejected	no-entrypoint	compiler	10	2366
loggability	1	1	0	1827984	rejected	analyze-failed	compiler	17	964
map	1	16	0	6412760	rejected	analyze-failed	compiler	10	268
email_address	1	2	0	11970750	rejected	analyze-failed	compiler	11	1154
scbi_blast	1	2	0	30474	rejected	analyze-failed	compiler	10	749
gender_detector	1	1	0	2014057	rejected	analyze-failed	compiler	2	129
tk	1	2	0	87641	rejected	c-extension	native	2	249
namer	1	1	0	13699	rejected	analyze-failed	compiler	1	62
redis-session-store	1	1	0	8467321	rejected	analyze-failed	compiler	1	159
google-cloud-datastore	1	1	0	1756413	rejected	analyze-failed	compiler	16	1339
subcommand	1	1	0	150053	rejected	analyze-failed	compiler	2	209
cosmos	1	1	0	270002	rejected	c-extension	native	6	139
abnftt	1	1	0	354307	rejected	analyze-failed	compiler	7	3191
seanohalpin-smqueue	1	1	0	8944	rejected	analyze-failed	compiler	5	957
yourdsl	1	1	0	9201	rejected	analyze-failed	compiler	1	56
cityhash	1	1	0	7464443	rejected	c-extension	native	2	53
rack-attack	1	1	0	141643084	rejected	no-entrypoint	compiler	5	68
unparser	1	13	0	98340767	rejected	analyze-failed	compiler	2	10
fast-aes	1	1	0	123567	rejected	c-extension	native	2	6
hookworm-base	1	1	0	30952	rejected	analyze-failed	compiler	9	223
unit_quaternion	1	1	0	13185	rejected	analyze-failed	compiler	3	350
nested_scaffold	1	1	0	194085	rejected	no-entrypoint	compiler	14	274
docsplit	1	2	0	1536819	rejected	analyze-failed	compiler	5	101
graphicsmagick	1	1	0	141373	rejected	analyze-failed	compiler	8	189
date	1	20	0	260498214	rejected	c-extension	native	0	0
ruby-filemagic	1	4	0	7319457	rejected	c-extension	native	4	201
herb	1	1	0	896508	rejected	c-extension	native	46	18991
sheller	1	1	0	25744	rejected	analyze-failed	compiler	1	59
jml_thrift	1	1	0	194633	rejected	c-extension	native	37	3132
ronin-support	1	1	0	100338	rejected	no-entrypoint	compiler	15	883
rb-libsvm	1	1	0	463304	rejected	c-extension	native	7	90
attr_encrypted	1	2	0	77019931	rejected	analyze-failed	compiler	4	207
ryansch-andand	1	1	0	61429	rejected	analyze-failed	compiler	2	96
bblib	1	1	0	29252	rejected	analyze-failed	compiler	75	4052
phlex-markdown	1	1	0	3709	rejected	no-entrypoint	compiler	1	85
fast_trie	1	2	0	2137421	rejected	no-entrypoint	compiler	0	0
hashr	1	3	0	4370388	rejected	analyze-failed	compiler	6	211
mixology	1	1	0	47087	rejected	c-extension	native	1	35
rainbows	1	2	0	688777	rejected	analyze-failed	compiler	3	32
jsonnet	1	2	0	215084	rejected	c-extension	native	3	86
guard-compat	1	3	0	129898095	rejected	no-entrypoint	compiler	6	212
unix-crypt	1	1	0	3593755	rejected	analyze-failed	compiler	6	281
chemistry-element	1	1	0	5323	rejected	no-entrypoint	compiler	121	882
gir_ffi-gtk	1	1	0	60074	rejected	analyze-failed	compiler	24	448
digest	1	4	5490	26017844	rejected	c-extension	native	1	6
zipruby	1	4	0	2683219	rejected	no-entrypoint	compiler	0	0
easy_logging	1	1	0	21669	rejected	analyze-failed	compiler	2	48
emoji_data	1	1	0	73711	rejected	analyze-failed	compiler	3	126
damerau-levenshtein	1	1	0	4708666	rejected	c-extension	native	4	191
open-uri-cached	1	2	0	1257269	rejected	no-entrypoint	compiler	1	98
nutrun-string	1	1	0	11536	rejected	analyze-failed	compiler	2	92
device_detector	1	1	0	60309423	rejected	analyze-failed	compiler	15	3650
stick	1	2	0	25427	rejected	no-entrypoint	compiler	44	3723
log_buddy	1	1	0	333034	rejected	analyze-failed	compiler	4	127
image_size	1	5	0	13743325	rejected	analyze-failed	compiler	11	828
ejson	1	1	0	18607750	rejected	no-entrypoint	compiler	4	50
econfig	1	1	0	92014	rejected	analyze-failed	compiler	3	27
regexp_parser	1	20	0	617018092	rejected	analyze-failed	compiler	83	5680
rack-throttle	1	1	0	3788492	rejected	no-entrypoint	compiler	4	65
camping	1	1	0	135378	rejected	analyze-failed	compiler	0	0
colorato	1	1	0	3038	rejected	analyze-failed	compiler	3	118
rcrypt	1	1	0	5396	rejected	analyze-failed	compiler	1	41
icanhasaudio	1	1	0	32405	rejected	c-extension	native	9	389
libreconv	1	1	0	3126400	rejected	analyze-failed	compiler	2	107
highlight	1	1	0	54221	rejected	no-entrypoint	compiler	2	20
sax_stream	1	1	0	67499	rejected	no-entrypoint	compiler	25	1024
device_control	1	1	0	4285	rejected	analyze-failed	compiler	1	202
backticks	1	1	0	2935835	rejected	analyze-failed	compiler	6	238
marshal-structure	1	1	0	18440	rejected	no-entrypoint	compiler	5	604
ruby-elf	1	1	0	554644	rejected	analyze-failed	compiler	15	2014
lockbox	1	1	0	46591861	rejected	analyze-failed	compiler	17	1415
dotgpg-environment	1	1	0	46196	rejected	no-entrypoint	compiler	2	34
stories	1	1	0	33469	rejected	analyze-failed	compiler	2	75
punycode4r	1	1	0	974353	rejected	analyze-failed	compiler	1	335
nbtfile	1	1	0	475337	rejected	analyze-failed	compiler	1	833
creamerscript-sweeteners	1	1	0	8194	rejected	no-entrypoint	compiler	11	218
card_deck	1	1	0	136363	rejected	analyze-failed	compiler	3	74
aws-flow	1	1	0	762849	rejected	no-entrypoint	compiler	10	869
hiredis	1	45	0	83496483	rejected	c-extension	native	0	0
ruby-debug19	1	1	0	799462	rejected	no-entrypoint	compiler	0	0
cast	1	1	0	51292	rejected	c-extension	native	3	376
nokogiri-diff	1	1	0	2249913	rejected	no-entrypoint	compiler	5	64
fast	1	1	0	72578	rejected	analyze-failed	compiler	3	64
cutest	1	1	0	171418	rejected	analyze-failed	compiler	5	98
bfs	1	1	0	134020	rejected	analyze-failed	compiler	2	99
ruby-fann	1	2	0	219762	rejected	c-extension	native	4	93
uri	1	17	30909	204821705	rejected	analyze-failed	compiler	6	991
google-cloud-spanner	1	2	0	2256966	rejected	analyze-failed	compiler	18	1095
traceur	1	1	0	10342	rejected	hard-feature	metaprog	10	260
js_regex	1	1	0	40865564	rejected	analyze-failed	compiler	25	1198
expectr	1	1	0	71189	rejected	analyze-failed	compiler	9	448
datadog	1	3	0	28178861	rejected	c-extension	native	7	91
debride	1	1	0	1532269	rejected	analyze-failed	compiler	1	16
esperanto-source	1	1	0	102548	rejected	no-entrypoint	compiler	2	24
sdbm	1	2	0	284479	rejected	no-entrypoint	compiler	0	0
hash-keys	1	1	0	15282	rejected	analyze-failed	compiler	2	81
ddmetrics	1	1	0	475381	rejected	analyze-failed	compiler	11	258
envconfig	1	1	0	15436	rejected	analyze-failed	compiler	1	1
env_bang	1	1	0	253016	rejected	analyze-failed	compiler	1	22
ddtrace	1	1	0	98233546	rejected	c-extension	native	2	22
slim-rails	1	1	0	44349278	rejected	analyze-failed	compiler	7	168
baidu_api-geocoding	1	1	0	18167	rejected	no-entrypoint	compiler	5	120
mediawiki-gateway	1	1	0	204475	rejected	analyze-failed	compiler	12	1276
video_info	1	1	0	2384338	rejected	analyze-failed	compiler	14	1084
file-utils	1	3	0	986938	rejected	no-entrypoint	compiler	1	31
ruby-pcap	1	1	0	821056	rejected	c-extension	native	4	264
mailchimp-api	1	1	0	5639289	rejected	analyze-failed	compiler	3	955
memoit	1	1	0	239719	rejected	analyze-failed	compiler	2	23
Linguistics	1	1	0	16068	rejected	analyze-failed	compiler	6	2327
backbone-rails	1	1	0	1475221	rejected	analyze-failed	compiler	3	15
barrister	1	1	0	40032	rejected	analyze-failed	compiler	2	40
gmp	1	1	0	133850	rejected	c-extension	native	1	24
ruby2c	1	1	0	22217	rejected	analyze-failed	compiler	11	1624
bioinform	1	1	0	88782	rejected	analyze-failed	compiler	33	1199
wapiti	1	2	0	170489	rejected	c-extension	native	10	558
array_enumerator	1	1	0	110161	rejected	analyze-failed	compiler	1	225
locomotivecms-liquid	1	1	0	85761	rejected	analyze-failed	compiler	49	2459
tuwaga	1	1	0	28414	rejected	analyze-failed	compiler	1	59
sys-host	1	1	0	75212	rejected	no-entrypoint	compiler	0	0
erlectricity	1	1	0	38747	rejected	c-extension	native	22	640
quick_magick	1	2	0	150399	rejected	analyze-failed	compiler	3	467
litl-parser	1	1	0	4021	rejected	c-extension	native	6	177
nullobject	1	1	0	98175	rejected	analyze-failed	compiler	2	160
io-extra	1	1	0	800705	rejected	c-extension	native	1	10
casperjs	1	2	0	76450	rejected	no-entrypoint	compiler	0	0
ruby-notify-my-android	1	1	0	19480	rejected	analyze-failed	compiler	4	128
hintable_levenshtein	1	1	0	10983	rejected	analyze-failed	compiler	3	194
less-js-source	1	1	0	17813	rejected	no-entrypoint	compiler	1	7
easystats	1	1	0	248767	rejected	analyze-failed	compiler	2	70
simple_record	1	2	0	423752	rejected	analyze-failed	compiler	14	2557
flickraw-cached	1	1	0	176662	rejected	no-entrypoint	compiler	0	0
about_pos	1	1	0	20259	rejected	analyze-failed	compiler	1	166
libxml-xmlrpc	1	1	0	165999	rejected	no-entrypoint	compiler	4	374
enum	1	1	0	55054	rejected	analyze-failed	compiler	8	553
global_convert	1	1	0	8323	rejected	analyze-failed	compiler	4	58
ed25519	1	5	0	119165184	rejected	c-extension	native	1	48
offsite_payments	1	4	0	2949447	rejected	analyze-failed	compiler	2	126
ya_gpio	1	1	0	3579	rejected	analyze-failed	compiler	2	122
pixel_pi	1	1	0	14903	rejected	c-extension	native	3	121
terminal_rb	1	1	0	8469	rejected	analyze-failed	compiler	19	5594
rgeo-geojson	1	4	0	12436141	rejected	analyze-failed	compiler	8	412
system_timer	1	2	0	499985	rejected	c-extension	native	4	164
infoboxer	1	1	0	66739	rejected	analyze-failed	compiler	44	2708
stanford-core-nlp	1	1	0	187431	rejected	analyze-failed	compiler	3	533
callable	1	2	0	17091	rejected	analyze-failed	compiler	2	10
fibonacci_rng	1	1	0	71325	rejected	analyze-failed	compiler	7	193
domain	1	1	0	35542	rejected	analyze-failed	compiler	2	73
pp	1	1	0	104655503	rejected	analyze-failed	compiler	8	301
mugatu	1	1	0	2935	rejected	analyze-failed	compiler	15	133
ios-devices	1	1	0	465116	rejected	no-entrypoint	compiler	3	392
aua	1	1	0	53486	rejected	analyze-failed	compiler	13	274
gtk4	1	1	0	46219	rejected	c-extension	native	61	2928
syntax_tree	1	1	0	18528414	rejected	analyze-timeout	compiler	7	877
aspectr	1	1	0	10083	rejected	analyze-failed	compiler	1	230
ruby-net-ldap	1	1	0	161393	rejected	no-entrypoint	compiler	8	944
radius	1	1	0	328206	rejected	analyze-failed	compiler	12	2544
wycats-thor	1	3	0	33121	rejected	analyze-failed	compiler	25	2120
molinillo	1	1	0	107920450	rejected	analyze-failed	compiler	20	1357
soap4r-straightjacket	1	1	0	7711	rejected	no-entrypoint	compiler	158	17728
jellyfish	1	1	0	68515	rejected	analyze-failed	compiler	2	37
parsi-date	1	1	0	54503	rejected	other	compiler	4	530
stitch-plus	1	1	0	34282	rejected	analyze-failed	compiler	2	186
structure	1	2	0	338811	rejected	analyze-failed	compiler	6	681
fuji_markdown	1	1	0	18603	rejected	analyze-failed	compiler	10	246
flickr	1	1	0	66790	rejected	analyze-failed	compiler	8	286
configurations	1	3	0	803801	rejected	analyze-failed	compiler	21	715
xmpp4r-simple-19	1	1	0	11013	rejected	analyze-failed	compiler	1	287
daemon-spawn	1	2	0	1768053	rejected	analyze-failed	compiler	1	168
andyw8-itunes-library	1	1	0	11392	rejected	no-entrypoint	compiler	3	201
validates_as_uk_postcode	1	1	0	8547	rejected	analyze-failed	compiler	3	44
ipaddr	1	1	0	20100429	rejected	analyze-failed	compiler	3	65
envied	1	1	0	823449	rejected	analyze-failed	compiler	7	292
groupdate	1	1	0	36440663	rejected	analyze-failed	compiler	12	797
ipaddr_range_set	1	1	0	175643	rejected	analyze-failed	compiler	2	80
ordinal_array	1	1	0	188724	rejected	analyze-failed	compiler	3	188
chef-api	1	1	0	1157578	rejected	analyze-failed	compiler	35	1717
object_proxy	1	1	0	18040	rejected	analyze-failed	compiler	2	48
graphql-batch	1	1	0	27182125	rejected	no-entrypoint	compiler	7	287
leveldb-ruby	1	1	0	85350	rejected	c-extension	native	1	73
ruby-ldap	1	1	0	1380315	rejected	no-entrypoint	compiler	3	420
sinatra-r18n	1	1	0	371216	rejected	no-entrypoint	compiler	2	33
basecamp	1	1	0	83140	rejected	no-entrypoint	compiler	93	6868
deque	1	1	0	12158	rejected	no-entrypoint	compiler	1	3
pyu-ntlm-http	1	1	0	54022	rejected	no-entrypoint	compiler	2	655
http-parser-lite	1	2	0	445650	rejected	c-extension	native	2	48
configurability	1	1	0	183885	rejected	analyze-failed	compiler	5	639
leveldb	1	1	0	123874	rejected	c-extension	native	1	73
latinverb_deponent_string_deriver	1	4	0	8629	rejected	analyze-failed	compiler	2	31
bert	1	3	0	524425	rejected	c-extension	native	7	434
google-cloud-bigquery	1	4	0	24376893	rejected	analyze-failed	compiler	19	966
executable	1	1	0	243006	rejected	analyze-failed	compiler	9	816
xmlparser	1	1	0	400986	rejected	c-extension	native	41	9286
krates	1	1	0	43821	rejected	hard-feature	metaprog	23	566
motion-objc-runtime-bundler-fix	1	1	0	4440	rejected	analyze-failed	compiler	1	30
erb	1	3	7450	82281490	rejected	c-extension	native	2	17
ruby-binlog	1	1	0	35344	rejected	no-entrypoint	compiler	0	0
ssd	1	4	0	21147	rejected	analyze-failed	compiler	6	194
iounpack	1	1	0	3798	rejected	analyze-failed	compiler	2	94
rcapture	1	1	0	13120	rejected	no-entrypoint	compiler	0	0
color_echo	1	1	0	120068	rejected	analyze-failed	compiler	12	524
rinruby	1	1	0	611390	rejected	analyze-failed	compiler	3	551
guid	1	1	0	7284932	rejected	analyze-failed	compiler	1	128
lambda_driver	1	1	0	111488	rejected	analyze-failed	compiler	22	319
rio	1	2	0	99350	rejected	analyze-failed	compiler	19	677
